text,url,handle,is_story
About Us,https://100r.org/about/,100reporters,FALSE
Asylum for Sale Refugees Say Some U.N. Workers Demand Bribes for...,https://100r.org/2019/04/unhcr-corruption-refugee-resettlement/,100reporters,TRUE
Central/Eastern Europe,https://100r.org/about/the-reporters/central-eastern-europe-staff/,100reporters,FALSE
Diana Jean Schemo,https://100r.org/author/diana/,100reporters,FALSE
Did Industry Funding Influence an FDA Investigation into Canine Heart Disease and Grain-Free Dog Food? START READING,https://100r.org/2022/07/did-industry-funding-influence-an-fda-investigation-into-canine-heart-disease-and-grain-free-dog-food/,100reporters,TRUE
Documentaries as AdvertisingCorporate Interests Turn to Indie Docs for Influence; Audiences in the DarkRead more,https://100r.org/2019/12/documentaries-as-advertising/,100reporters,TRUE
Our Founders,https://100r.org/about/our-founders-2/,100reporters,FALSE
Pandemic Drives Wave of Property Grabs in Zambia,https://100r.org/2020/12/propertygrabs/,100reporters,TRUE
Trouble in Kenya's Flower Fields,https://100r.org/2017/12/trouble-in/,100reporters,TRUE
Twitter,https://twitter.com/100reporters,100reporters,FALSE
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",https://www.11alive.com/article/news/health/coronavirus/coronavirus-numbers/georgia-coronavirus-updates-interactive-map-of-the-state/85-57b7c77b-8921-4af2-91c0-d6e698ed845e,11alivenews,TRUE
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",https://www.11alive.com/article/news/verify/money-verify/what-is-a-recession-official-definition/536-47a3cc51-3385-4f43-8fbd-1456c01536df,11alivenews,TRUE
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",https://www.11alive.com/article/news/local/atlanta-stuntwoman-connie-palmer-breaks-back-legs-while-skydiving/85-17ee0c24-4bf2-4224-b307-f82170993d4d,11alivenews,TRUE
Closed Caption Procedures,/closed-captioning,11alivenews,FALSE
Closings,/closings,11alivenews,FALSE
Features,/features,11alivenews,FALSE
Follow the storms as they come in.,https://www.11alive.com/radar,11alivenews,FALSE
Higher rain chances Saturday,https://www.11alive.com/article/weather/weather/85-d0a35789-5c0e-48c4-b5e0-01755d79ed12,11alivenews,TRUE
More () »,/breaking-news,11alivenews,FALSE
More Heartwarming,/section/heartwarming,11alivenews,FALSE
SoftNEP,https://www.softnep.com/,12khari,FALSE
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",https://www.12newsnow.com/article/traffic/two-port-arthur-police-officers-injured-after-friday-night-crash/502-702b172b-acd9-45b2-96df-694e97b4c744,12newsnow,TRUE
