text,path,is_story
Trouble in Kenya's Flower Fields,/2017/12/trouble-in/,1
Asylum for Sale Refugees Say Some U.N. Workers Demand Bribes for...,/2019/04/unhcr-corruption-refugee-resettlement/,1
Documentaries as AdvertisingCorporate Interests Turn to Indie Docs for Influence; Audiences in the DarkRead more,/2019/12/documentaries-as-advertising/,1
Pandemic Drives Wave of Property Grabs in Zambia,/2020/12/propertygrabs/,1
Did Industry Funding Influence an FDA Investigation into Canine Heart Disease and Grain-Free Dog Food? START READING,/2022/07/did-industry-funding-influence-an-fda-investigation-into-canine-heart-disease-and-grain-free-dog-food/,1
About Us,/about/,0
Our Founders,/about/our-founders-2/,0
Central/Eastern Europe,/about/the-reporters/central-eastern-europe-staff/,0
Diana Jean Schemo,/author/diana/,0
More () »,/breaking-news,0
Closed Caption Procedures,/closed-captioning,0
Closings,/closings,0
Features,/features,0
More Heartwarming,/section/heartwarming,0
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",/article/news/health/coronavirus/coronavirus-numbers/georgia-coronavirus-updates-interactive-map-of-the-state/85-57b7c77b-8921-4af2-91c0-d6e698ed845e,1
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",/article/news/local/atlanta-stuntwoman-connie-palmer-breaks-back-legs-while-skydiving/85-17ee0c24-4bf2-4224-b307-f82170993d4d,1
"!function(){if (!document.hidden) {let e=document.currentScript;void 0!==window.tegna&&!0===window.tegna.loaded||new window.IntersectionObserver(function(e,a){e.forEach(function(e){if(e.isIntersecting){const a=e.target.querySelectorAll("".lazy-image__image"")[0],t=e.target.querySelectorAll("".lazy-image__placeholder"")[0];a.src=a.dataset.src,a.srcset=a.dataset.srcset,e.target.dataset.preloaded=""true"",a.classList.remove(""lazy-image__image_loaded_false""),a.classList.add(""lazy-image__image_loaded_true""),a.classList.remove(""lazy-image__image_blur_true""),a.classList.add(""lazy-image__image_blur_false""),t.classList.remove(""lazy-image__placeholder_visible_true""),t.classList.add(""lazy-image__placeholder_visible_false"")}a.unobserve(e.target)})}).observe(e.parentElement)}}();",/article/news/verify/money-verify/what-is-a-recession-official-definition/536-47a3cc51-3385-4f43-8fbd-1456c01536df,1
Higher rain chances Saturday,/article/weather/weather/85-d0a35789-5c0e-48c4-b5e0-01755d79ed12,1
Follow the storms as they come in.,/radar,0
SoftNEP,/,0
Entertainment,/entertainment,0
Meet the Team,/meet-the-team,0
Politics,/politics,0
The Beat,/thebeat,0
Man accused of kidnapping 15-year-old girl out of Liberty County arrested in Colorado,/article/news/crime/man-accused-of-kidnapping-15-year-old-girl-from-liberty-county-arrested-in-colorado/502-8ce5c965-0fea-4751-b9ad-e7fd7a07d597,1
