text,url,is_story,prediction,is_accurate
20 Under 40,https://www.lagrangenews.com/20-under-40/,True,False,False
Bela’s Pilgrim,https://jewishcurrents.org/belas-pilgrim,True,False,False
Central/Eastern Europe,https://100r.org/about/the-reporters/central-eastern-europe-staff/,False,True,False
Trouble in Kenya's Flower Fields,https://100r.org/2017/12/trouble-in/,True,False,False
Follow the storms as they come in.,https://www.11alive.com/radar,False,True,False
Changing Child Care,https://19thnews.org/collections/changing-child-care/,False,True,False
SPONSORED: Options for breaking free from excruciating facial pain,https://6abc.com/trigeminal-neuralgia-facial-pain-blood-vessel-temple-health/12063720/,False,True,False
Press Information,/2020/09/press-information-2647452975/,False,True,False
Midterm elections,/hub/2022-midterm-elections?utm_source=apnewsnav&utm_medium=sections,False,True,False
"byJonathan Stoltman, Ashton Marra & Kristen Uppercue",https://www.100daysinappalachia.com/author/jonathanashtonkristen/,False,True,False
Read More >,https://ashland.news/reader-photo-navigating-a-cloudy-surface/,True,False,False
Tracking the Curve,https://aspenjournalism.org/aspen-area-virus-information-sources/,False,True,False
The complaint,https://avlwatchdog.org/wp-content/uploads/2022/06/Shroat-complaint.pdf,False,True,False
Food & Drink,https://www.baltimoremagazine.com/section/fooddrink/baltimore-regions-best-crab-houses-crab-cakes-soft-shells/,False,True,False
Achieving equilibrium,/sponsored/achieving-equilibrium/article_d7295032-f6f6-11ec-9477-f7533a9c28fe.html,True,False,False
Jack's Cannabis,/marketplace/jack-s-cannabis/business_4000204783.html,False,True,False
"How to remove a Trojan, Virus, Worm, or other Malware",/tutorials/how-to-remove-a-trojan-virus-worm-or-malware/,False,True,False
A Beautiful Resistance,/metro/special-reports/a-beautiful-resistance/?p1=BGMenu_Sections,True,False,False
Heath Alan Mosley,https://breckenridgetexan.com/2022/07/24/heath-alan-mosley/,False,True,False
Josephine A. Garcia,https://breckenridgetexan.com/2022/06/27/josephine-a-garcia/,False,True,False
Comments,/news/local_news/open-records-request-denied/article_ee2e489e-53dc-59bc-855e-454e109c7a41.html#comments,False,True,False
Newell Brands: Q2 Earnings Snapshot,/ap/business/newell-brands-q2-earnings-snapshot/article_644d356f-0cce-5b2c-9526-c4d231277ddd.html,False,True,False
"Tue

					9",/calendar/day/when/2022-08-09/,False,True,False
Capitol News Illinois,https://soundcloud.com/user-592090129-621623053,False,True,False
Best of Chicago: Sports & Recreation,https://chicagoreader.com/best-of-chicago/2021-sports-recreation-index/,False,True,False
Read More →,/english/berwyn-mayor-lovero-covid-community,True,False,False
Cory Lum/Civil Beat,https://www.civilbeat.org/beat/uh-gets-700k-to-study-racism-and-lung-cancer/,True,False,False
"Nonprofit News Powered By

                  Daintry Bartoldus

                  Miriam Beams

                  Elizabeth Blalock

                  Deborah Fleming

                  George Hudes

                Readers Like You",/donate,False,True,False
2022 Elections | Clayton County Board of Commissioners,https://claytoncrescent.org/category/elections/2022-clayton-county-board-of-commissioners/,True,False,False
Explore all Climate Matters materials in our resource library,/resources?type=Climate+Matters,False,True,False
The Howard Center for Investigative Journalism,https://cnsmaryland.org/author/howard-center-for-investigative-journalism/,False,True,False
▶️ Get Outside: Paintball,https://centraloregondaily.com/%e2%96%b6%ef%b8%8f-get-outside-paintball/,True,False,False
More Episodes,https://centraloregondaily.com/trailhead-day-use-theft-suspects-walmart/,True,False,False
2020 National House Vote Tracker,/2020-house-vote-tracker,False,True,False
The 2022 State Legislative Sessions Calendar,https://info.cq.com/resources/2022-state-legislative-sessions-calendar/,False,True,False
Best of the Best 2022,https://lcsun-news.secondstreetapp.com/2022-Best-of-the-Mesilla-Valley/,False,True,False
NewArena,https://newarena.com/entertainment/25-most-overrated-singers-of-all-time/?utm_content=73535&utm_campaign=tb_zs_overrated_1_edg_2_dt&utm_source=tb_ae&utm_term=gannettcompany-lascrucessun-news&utm_content=25+Most+Overrated+Singers+of+All-Time,False,True,False
"Admissions Officer£28,396-£33,682pa (NHC29-35)",https://www.fish4.co.uk/job/13234446/admissions-officer/?TrackID=1270958&utm_source=tm-bedfordshirelive&utm_medium=referral&utm_campaign=widget,False,True,False
"COURSE LEADER – ENGINEERING£30,840 - £37,903 per annum",https://www.fish4.co.uk/job/13308628/course-leader-engineering/?TrackID=1270958&utm_source=tm-bedfordshirelive&utm_medium=referral&utm_campaign=widget,False,True,False
"Good Job, Everyone. Great Work.",https://defector.com/good-job-everyone-great-work-kyler-murray/,True,False,False
GET OUR BOOK,https://www.amazon.com/Desert-Oracle-Strange-American-Southwest/dp/0374139687/,False,True,False
10 Years of the Higgs Boson,//www.discovery.com/space/higgs-boson,True,False,False
Naked and Afraid XL,//www.discovery.com/shows/naked-and-afraid-xl,True,False,False
Tracy Morgan's Best Shark Week Quotes,//www.discovery.com/shark-week/sharks-with-tracy-morgan,False,True,False
The Best Men's Shoes for Walking and Standing All DayThese shoes were made for walking and to provide optimal comfort.trabladzer|,https://www.trabladzer.com/products/mens-good-arch-support-outdoor-breathable-light-travel-sneakers1?st=&utm_source=taboola_tl&utm_medium=referral&tblci=GiATAsDr9w8K2YTz1I4NsIoVczMOWm4TLTZGJJNO-4R1FCDQyVkomPSD-c2cn4vtAQ#tblciGiATAsDr9w8K2YTz1I4NsIoVczMOWm4TLTZGJJNO-4R1FCDQyVkomPSD-c2cn4vtAQ,False,True,False
"If you really want change, you need to put in work to make it happen",/comment/climate-change-tory-party-put-work-make-happen-martin-lewis-b1015510.html,False,True,False
Submit a letter to the editor,https://evanstonroundtable.com/submit-a-letter-to-the-editor/,False,True,False
Your California Privacy Rights,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/your-california-privacy-rights/,False,True,False
Donors – 2011-2012,https://www.floridabulldog.org/donors-to-broward-bulldog/donors-2011-2012/,False,True,False
"July 25, 2022 5:00 am",https://www.floridabulldog.org/2022/07/,False,True,False
25 Best Large Workplaces in the Bay Area,https://fortune.com/best-workplaces-bay-area/2022/,False,True,False
Pelosi Must Go,https://freebeacon.com/columns/pelosi-must-go/,True,False,False
Advertising Terms and Conditions,https://cm.gainesville.com/advertising-terms-conditions,False,True,False
"Website by CMIT Solutions of Oak Park, Hinsdale and Oak Brook",https://cmitsolutions.com/oak-park-hinsdale-oak-brook/,False,True,False
April 2022,https://harpers.org/archive/2022/04/,False,True,False
August 2022,https://harpers.org/archive/2022/08/,False,True,False
65% off your 1st box + 30% off in month 1 - Gousto discount code,https://www.independent.co.uk/vouchercodes/gousto,False,True,False
"8

									  		Bad Education",https://jewishcurrents.org/bad-education,True,False,False
Click: Your latest updates from the News Letter,https://www.newsletter.co.uk/news/latest,False,True,False
Just Married in New Jersey,/just-married-in-new-jersey-41505296,False,True,False
"Sun, Jul 31 @9:00amPride Month Craft Grab & GoMarion Branch",https://newjersey.news12.com/new-jersey-events#!/details/PRIDE-MONTH-CRAFT-GRAB-GO/9939967/2022-07-31T09,False,True,False
Journalism of tolerance,https://www.kyivpost.com/special-project/journalism-of-tolerance,True,False,False
